      i          x1i          x2i          x3i          x1i+1        x2i+1        x3i+1        Err1        Err2        Err3        Time  
 33.000000   442962766770556480.000000   468018951071395520.000000   -2068501003370021100.000000   1600482052298625800.000000   1691013302960944400.000000   -7473762987330772000.000000   1157519285528069100.000000   1222994351889549100.000000   5405261983960751100.000000     0.362908   
 34.000000   1600482052298625800.000000   1691013302960944400.000000   -7473762987330772000.000000   5782749684369827800.000000   6109850860194478100.000000   -27003677107138175000.000000   4182267632071201800.000000   4418837557233532900.000000   19529914119807402000.000000     0.379899   
 35.000000   5782749684369827800.000000   6109850860194478100.000000   -27003677107138175000.000000   20893826246943695000.000000   22075685311555101000.000000   -97567795305080848000.000000   15111076562573869000.000000   15965834451360623000.000000   70564118197942673000.000000     0.405099   
 36.000000   20893826246943695000.000000   22075685311555101000.000000   -97567795305080848000.000000   75492109993525740000.000000   79762320411090633000.000000   -352525126223560510000.000000   54598283746582053000.000000   57686635099535532000.000000   254957330918479660000.000000     0.395894   
 37.000000   75492109993525740000.000000   79762320411090633000.000000   -352525126223560510000.000000   272762805812469890000.000000   288191631089767450000.000000   -1273719101988007100000.000000   197270695818944150000.000000   208429310678676800000.000000   921193975764446610000.000000     0.383604   
 38.000000   272762805812469890000.000000   288191631089767450000.000000   -1273719101988007100000.000000   985527470898239770000.000000   1041273822051849700000.000000   -4602112672502908500000.000000   712764665085769810000.000000   753082190962082320000.000000   3328393570514901700000.000000     0.361646   
 39.000000   985527470898239770000.000000   1041273822051849700000.000000   -4602112672502908500000.000000   3560838850451059200000.000000   3762257663036505500000.000000   -16628031264786106000000.000000   2575311379552819200000.000000   2720983840984655700000.000000   12025918592283197000000.000000     0.382107   
 40.000000   3560838850451059200000.000000   3762257663036505500000.000000   -16628031264786106000000.000000   12865773601749599000000.000000   13593525951881741000000.000000   -60079238258269622000000.000000   9304934751298541100000.000000   9831268288845234300000.000000   43451206993483519000000.000000     0.388698   
 41.000000   12865773601749599000000.000000   13593525951881741000000.000000   -60079238258269622000000.000000   46485712306387879000000.000000   49115176140100910000000.000000   -217074096879884530000000.000000   33619938704638282000000.000000   35521650188219167000000.000000   156994858621614930000000.000000     0.393039   
 42.000000   46485712306387879000000.000000   49115176140100910000000.000000   -217074096879884530000000.000000   167958920739783620000000.000000   177459515346656970000000.000000   -784316927149646390000000.000000   121473208433395760000000.000000   128344339206556060000000.000000   567242830269761790000000.000000     0.401400   
 43.000000   167958920739783620000000.000000   177459515346656970000000.000000   -784316927149646390000000.000000   606857411802989380000000.000000   641184294997535510000000.000000   -2833839002697090700000000.000000   438898491063205760000000.000000   463724779650878570000000.000000   2049522075547444500000000.000000     0.386578   
 44.000000   606857411802989380000000.000000   641184294997535510000000.000000   -2833839002697090700000000.000000   2192654707699555200000000.000000   2316682198463084200000000.000000   -10239028656938585000000000.000000   1585797295896565800000000.000000   1675497903465548600000000.000000   7405189654241494700000000.000000     0.388033   
 45.000000   2192654707699555200000000.000000   2316682198463084200000000.000000   -10239028656938585000000000.000000   7922346458475501300000000.000000   8370473903601112700000000.000000   -36994941398516592000000000.000000   5729691750775946300000000.000000   6053791705138029100000000.000000   26755912741578007000000000.000000     0.464443   
 46.000000   7922346458475501300000000.000000   8370473903601112700000000.000000   -36994941398516592000000000.000000   28624467494915478000000000.000000   30243610201411804000000000.000000   -133667531846608630000000000.000000   20702121036439975000000000.000000   21873136297810690000000000.000000   96672590448092029000000000.000000     0.389709   
 47.000000   28624467494915478000000000.000000   30243610201411804000000000.000000   -133667531846608630000000000.000000   103423921645196830000000000.000000   109274094698680280000000000.000000   -482958166563836100000000000.000000   74799454150281347000000000.000000   79030484497268491000000000.000000   349290634717227480000000000.000000     0.387200   
 48.000000   103423921645196830000000000.000000   109274094698680280000000000.000000   -482958166563836100000000000.000000   373684071865155820000000000.000000   394821507508344250000000000.000000   -1744990630322766400000000000.000000   270260150219958980000000000.000000   285547412809663970000000000.000000   1262032463758930400000000000.000000     0.349836   
 49.000000   373684071865155820000000000.000000   394821507508344250000000000.000000   -1744990630322766400000000000.000000   1350169122814422200000000000.000000   1426541425220740300000000000.000000   -6304877959883855100000000000.000000   976485050949266340000000000.000000   1031719917712396200000000000.000000   4559887329561088100000000000.000000     0.392493   
 50.000000   1350169122814422200000000000.000000   1426541425220740300000000000.000000   -6304877959883855100000000000.000000   4878336534663114500000000000.000000   5154279590069730100000000000.000000   -22780343572203860000000000000.000000   3528167411848691800000000000.000000   3727738164848989500000000000.000000   16475465612320008000000000000.000000     0.405726   
