      i          x1i          x2i          x3i          x1i+1        x2i+1        x3i+1        Err1        Err2        Err3        Time  
 38.000000   7590705477418455.000000   8060880512156687.000000   12885977340724726.000000   -20946857852881404.000000   -22241773439245264.000000   -35568699752597736.000000   28537563330299856.000000   30302653951401952.000000   48454677093322464.000000     0.430932   
 39.000000   -20946857852881404.000000   -22241773439245264.000000   -35568699752597736.000000   57810473191843008.000000   61389504905384592.000000   98145607097057904.000000   78757331044724416.000000   83631278344629856.000000   133714306849655650.000000     0.405481   
 40.000000   57810473191843008.000000   61389504905384592.000000   98145607097057904.000000   -159535112002442500.000000   -169401124923972540.000000   -270884224503918300.000000   217345585194285500.000000   230790629829357120.000000   369029831600976190.000000     0.426282   
 41.000000   -159535112002442500.000000   -169401124923972540.000000   -270884224503918300.000000   440285349427890820.000000   467535707340186050.000000   747506042775581310.000000   599820461430333310.000000   636936832264158590.000000   1018390267279499600.000000     0.397798   
 42.000000   440285349427890820.000000   467535707340186050.000000   747506042775581310.000000   -1215041750115767300.000000   -1290198289986035700.000000   -2063035146162394400.000000   1655327099543658000.000000   1757733997326221800.000000   2810541188937975800.000000     0.420671   
 43.000000   -1215041750115767300.000000   -1290198289986035700.000000   -2063035146162394400.000000   3353233436148429800.000000   3560741361627037200.000000   5693157495131757600.000000   4568275186264197100.000000   4850939651613072400.000000   7756192641294151700.000000     0.419372   
 44.000000   3353233436148429800.000000   3560741361627037200.000000   5693157495131757600.000000   -9253898856758794200.000000   -9826365617607964700.000000   -15712074239103756000.000000   12607132292907225000.000000   13387106979235000000.000000   21405231734235513000.000000     0.424558   
 45.000000   -9253898856758794200.000000   -9826365617607964700.000000   -15712074239103756000.000000   25538439856711721000.000000   27118698223310868000.000000   43359945137962082000.000000   34792338713470517000.000000   36945063840918831000.000000   59072019377065837000.000000     0.421534   
 46.000000   25538439856711721000.000000   27118698223310868000.000000   43359945137962082000.000000   -70478643361272955000.000000   -74838886755090596000.000000   -119663754455000200000.000000   96017083217984684000.000000   101957584978401460000.000000   163023699592962280000.000000     0.380645   
 47.000000   -70478643361272955000.000000   -74838886755090596000.000000   -119663754455000200000.000000   194502641210090780000.000000   206537434847515540000.000000   330234625307181190000.000000   264981284571363740000.000000   281376321602606140000.000000   449898379762181410000.000000     0.414379   
 48.000000   194502641210090780000.000000   206537434847515540000.000000   330234625307181190000.000000   -536772060154696760000.000000   -569981261216302170000.000000   -911366266357682800000.000000   731274701364787540000.000000   776518696063817740000.000000   1241600891664863900000.000000     0.403772   
 49.000000   -536772060154696760000.000000   -569981261216302170000.000000   -911366266357682800000.000000   1481347527573985000000.000000   1573003061913374900000.000000   2515101873880951700000.000000   2018119587728681900000.000000   2142984323129677200000.000000   3426468140238634500000.000000     0.463463   
 50.000000   1481347527573985000000.000000   1573003061913374900000.000000   2515101873880951700000.000000   -4088104935794326600000.000000   -4341034183557258900000.000000   -6941030477101102300000.000000   5569452463368311900000.000000   5914037245470634400000.000000   9456132350982054000000.000000     0.508980   
